1-qid,two_realRank2,two_realRank,State,MART,RandomFor,ndcg_term_MART,ndcg_term_RandomFor
2013,48,25,New York University,17,26,0.004996093,0.004381457
2013,50,26,Rice University,21,19,0.004484876,0.004627564
2013,53,27,University of California-Berkeley,23,25,0.004115175,0.004014076
2013,54,28,University of Pittsburgh-Pittsburgh Campus,33,27,0.00364003,0.003852122
2013,57,29,University of California-San Diego,39,34,0.003296523,0.003420334
2013,58,30,University of Washington-Seattle Campus,11,28,0.004809361,0.003549083
2013,62,31,University of Minnesota-Twin Cities,33,30,0.003170349,0.00325563
2013,65,32,Ohio State University-Main Campus,36,32,0.002953211,0.003049844
2013,66,33,University of Virginia-Main Campus,26,29,0.003186514,0.003087804
2013,69,34,Vanderbilt University,29,31,0.002953551,0.002898551
2013,70,35,University of Rochester,24,33,0.003076261,0.002808023
2013,74,36,Georgia Institute of Technology-Main Campus,30,35,0.00272769,0.00261387
2013,76,37,The University of Texas at Austin,28,37,0.002708511,0.002507255
2013,78,38,University of Illinois Chicago,41,40,0.002377552,0.00239298
2013,80,39,Dartmouth College,22,38,0.002763309,0.002365004
2013,81,40,Georgetown University,37,36,0.002352487,0.002369861
2013,89,41,University of Illinois Urbana-Champaign,38,41,0.002125847,0.002083697
2013,99,42,University of Arizona,56,48,0.001731733,0.001799026
2013,103,43,Rutgers University-New Brunswick,46,43,0.001747877,0.001778342
2013,106,44,University of Notre Dame,49,42,0.001671545,0.001738574
2013,107,45,George Washington University,40,45,0.001744415,0.001691987
2013,111,46,University of Maryland-College Park,48,50,0.001604537,0.001588211
2013,114,47,Purdue University-Main Campus,44,44,0.001597262,0.001597262
2013,118,48,University at Buffalo,53,52,0.001472588,0.001479521
2013,121,49,University of Utah,57,53,0.001410804,0.001436077
2013,124,50,Michigan State University,42,46,0.0014862,0.001451866
2013,125,51,University of Miami,45,51,0.001448341,0.001403401
2013,128,52,Indiana University of Pennsylvania-Main Campus,61,55,0.0013121,0.001345277
2013,129,53,Pennsylvania State University-Main Campus,50,49,0.0013666,0.001373518
2013,131,54,University of Florida,43,47,0.001398239,0.001366811
2013,146,55,Tulane University of Louisiana,51,54,0.001201542,0.001184724
2013,157,56,Stony Brook University,55,58,0.001096786,0.001082749
2013,160,57,University of Iowa,54,57,0.001081061,0.00106692
2013,164,58,University of California-Santa Barbara,58,56,0.001036534,0.001045376
2013,165,59,Rensselaer Polytechnic Institute,52,60,0.001058081,0.001021898
2013,179,60,University of California-Irvine,59,59,0.000945775,0.000945775
2013,185,61,University of Connecticut,63,63,0.000900901,0.000900901
2013,199,62,University of Kansas,60,61,0.000847302,0.000843964
2013,202,63,Wake Forest University,62,62,0.000828219,0.000828219
2013,213,64,The University of Texas at Dallas,77,67,0.000746943,0.00077123
2013,220,65,University of Cincinnati-Main Campus,71,66,0.000736711,0.000749322
2013,224,66,Drexel University,64,64,0.000741284,0.000741284
2013,226,67,William & Mary,66,65,0.000729429,0.000732047
2013,227,68,University of Georgia,78,75,0.000698832,0.00070508
2013,228,69,Northeastern University,65,73,0.000725625,0.000706337
2013,236,70,Wayne State University,67,69,0.000696068,0.000691319
2013,240,71,Iowa State University,69,68,0.000679797,0.000682107
2013,247,72,University of Delaware,73,71,0.000652003,0.00065618
2013,249,73,Colorado School of Mines,79,72,0.000635259,0.000648817
2013,254,74,Boston College,68,74,0.00064451,0.000632063
2013,257,75,Brandeis University,70,70,0.000632717,0.000632717
2013,261,76,University of California-Riverside,75,77,0.00061323,0.000609574
2013,265,77,University of Oklahoma-Norman Campus,72,76,0.000609643,0.000602156
2013,275,78,Temple University,74,80,0.000583797,0.000573573
2013,278,79,Oregon State University,82,82,0.000564251,0.000564251
2013,279,80,University of California-Santa Cruz,76,78,0.000571941,0.000568584
2013,284,81,University of Arkansas,87,79,0.000545114,0.00055697
2013,287,82,Virginia Polytechnic Institute and State University,80,81,0.00054959,0.00054806
2013,289,83,Creighton University,84,83,0.000539865,0.000541307
2013,304,84,Clark University,88,87,0.000507969,0.000509251
2013,305,85,University of South Carolina-Columbia,85,84,0.000510201,0.000511544
2013,312,86,Washington State University,91,85,0.000491316,0.000498754
2013,316,87,University of Vermont,92,88,0.000483939,0.000488679
2013,322,88,SUNY at Albany,96,93,0.00047055,0.000473804
2013,325,89,University of South Florida,102,95,0.000460169,0.000467265
2013,326,90,Arkansas State University,89,91,0.000472513,0.000470216
2013,331,91,Arizona State University Campus Immersion,83,90,0.000472622,0.000464235
2013,336,92,Lehigh University,81,86,0.000468135,0.00046193
2013,340,93,American University,86,92,0.000456496,0.000449779
2013,350,94,University of Houston,90,89,0.000439034,0.000440112
2013,351,95,Hofstra University,103,100,0.000425196,0.000427893
2013,354,96,Auburn University,95,98,0.000428986,0.000426114
2013,357,97,The University of Montana,101,96,0.000419805,0.000424418
2013,366,98,Florida Institute of Technology,94,97,0.000415875,0.000413055
2013,370,99,George Mason University,93,94,0.000412337,0.000411379
