,1-qid,two_realRank,two_realRank2,State,CordAscent,country,teaching,international,research,citations,income,total_score,num_students,student_staff_ratio,year,female_percent,international_students,world_rank,country_encoded,country_contribution,female_percent_contribution,income_contribution,international_contribution,international_students_contribution,num_students_contribution,research_contribution,student_staff_ratio_contribution,teaching_contribution,country_feature_rank,female_percent_feature_rank,income_feature_rank,international_feature_rank,international_students_feature_rank,num_students_feature_rank,research_feature_rank,student_staff_ratio_feature_rank,teaching_feature_rank
30,2011,172,172,Goethe University Frankfurt,107,Germany,39.2,56.1,37.3,69.5,41.6,49.4,31861,9.3,2011,0.6,0.15,172,18,-0.008717941,-0.004619529,-0.035317088,0.00501437,-7.80E-05,0.02447906,3.45E-05,-0.019448216,0.008539078,4,8,1,7,9,2,10,3,5
31,2011,1,1,Harvard University,32,USA,99.7,72.4,98.7,98.8,34.5,96.1,20152,8.9,2011,0.496839882,0.25,1,70,0.006717661,0.002228528,-0.034474942,0.036592382,6.54E-05,-0.006938562,0.000178772,-0.021626748,0.057440237,7,8,3,2,10,6,9,4,1
32,2011,83,83,Heidelberg University,58,Germany,59.2,63.4,47.5,70.3,39.1,59,28881,24.5,2011,0.55,0.17,83,18,-0.012027777,-0.001589761,-0.035912886,0.009099177,-0.000862404,-0.000491118,0.003942268,0.030612053,0.054388605,4,8,2,5,9,10,7,3,1
33,2011,111,111,Hong Kong Baptist University,98,Hong Kong,32.9,71.8,32.5,97.6,26.7,55.6,10441,11,2011,0.61,0.25,111,21,-0.001969911,-0.001554878,-0.062436239,0.036977251,0.000564474,-0.020272333,0.001840127,-0.021754313,-0.018405235,7,9,1,2,10,4,8,3,5
34,2011,150,149,Hong Kong Polytechnic University,29,Hong Kong,39.4,82.9,45.7,62.4,57.2,51.4,22064,25.9,2011,0.51,0.26,149,21,-0.003159833,0.000213346,0.102842271,0.036675649,0.000962177,-0.000697912,-0.000109767,0.032110791,0.001351545,5,9,1,2,7,8,10,3,6
35,2011,41,41,Hong Kong University of Science and Technology,12,Hong Kong,50.4,97.4,51.8,98.2,64.1,69,11385,23.8,2011,0.496839882,0.36,41,21,-0.002594349,0.00011411,0.09893766,0.036641762,-0.001016973,-0.018273748,0.004446533,0.030759991,0.054639732,8,10,1,3,9,5,7,4,2
36,2011,178,178,Humboldt University of Berlin,54,Germany,50.9,46.1,44.5,52,27.8,48.5,29987,52.5,2011,0.496839882,0.16,178,18,-0.009082588,0.000316252,-0.061076435,-0.012459351,-0.001570437,0.03029623,-0.000458283,0.028194785,0.05597357,6,10,1,5,8,3,9,4,2
37,2011,9,9,Imperial College London,13,UK,89.2,90,94.5,88.3,92.9,90.6,15060,11.7,2011,0.37,0.51,9,69,0.009364515,0.003982948,0.098432847,0.036433971,-0.000359099,-0.010266088,0.000863564,-0.021434787,0.057977438,7,8,1,3,10,6,9,4,2
38,2011,156,156,Indiana University,119,USA,48.5,37.7,42.5,63.2,48.97987421,51,62468,13.6,2011,0.53,0.13,156,70,0.012483434,-0.001714914,0.000322773,-0.012363736,-0.000113413,0.031761074,-0.000478689,-0.009006715,0.055765897,3,7,9,4,10,2,8,5,1
39,2011,157,156,Iowa State University,174,USA,49.3,23.2,49.6,58.2,49.6,51,29991,17.4,2011,0.44,0.11,156,70,0.008901213,0.001073817,-0.003053282,-0.03408608,-0.001100507,0.030419705,0.004182179,-0.002536191,0.054804778,4,10,6,2,9,3,5,7,1
40,2011,13,13,Johns Hopkins University,37,USA,80.9,58.5,89.2,92.3,100,86.4,15128,3.6,2011,0.5,0.23,13,70,0.010054353,-0.001295746,0.0977158,0.008712779,0.001722897,-0.008850721,0.00137155,-0.017962766,0.055859652,5,10,1,7,8,6,9,3,2
41,2011,194,193,KTH Royal Institute of Technology,116,Sweden,49.1,64.2,56.2,29.2,100,46.8,12062,14.6,2011,0.3,0.21,193,60,0.00895682,0.003888668,0.09853923,0.009657922,-0.000438519,-0.017274088,0.000611388,-0.009382964,0.056085275,7,8,1,5,10,4,9,6,2
42,2011,119,119,KU Leuven,22,Belgium,57.7,29.6,62.9,45.2,97.7,54.8,42503,41.9,2011,0.54,0.18,119,5,-0.012420167,-0.002309505,0.096534893,-0.033893646,-0.000120874,0.029747961,0.002462232,0.030961714,0.057374212,7,9,1,3,10,5,8,4,2
43,2011,188,187,Karlsruhe Institute of Technology,188,Germany,45,47.3,35.4,60.7,40,47.2,25294,24.6,2011,0.26,0.16,187,18,-0.010220468,0.002677077,-0.038486548,-0.01004211,-0.002473699,-0.001753755,0.002227003,0.027501449,0.002030877,3,5,1,4,6,10,8,2,9
44,2011,44,43,Karolinska Institute,30,Sweden,65.8,52.00744025,72.7,62.3,73.3,67,7774,11.5,2011,0.7,0.22,43,60,0.011328508,-0.003579962,0.098331022,0.008546807,-0.002214693,-0.017930305,0.003920703,-0.018206503,0.05532231,5,8,1,6,10,4,7,3,2
45,2011,196,196,Kent State University,186,USA,33.5,15.9,33.3,76.8,26.3,46.5,23122,19,2011,0.58,0.08,196,70,0.012366594,-0.001431555,-0.061705463,-0.036385877,-0.001856535,-0.00031321,-0.001378071,-0.003714696,-0.018708945,4,8,1,2,7,10,9,6,3
46,2011,77,77,King’s College London,28,UK,48.5,85.9,54.5,72.1,44.1,59.7,21394,11.4,2011,0.61,0.37,77,69,0.009037004,-0.003947653,0.000297564,0.037323785,-0.001765691,-0.007637718,0.002597833,-0.021455176,0.055098294,4,7,10,2,9,5,8,3,1
47,2011,79,79,Korea Advanced Institute of Science and Technology (KAIST),189,South Korea,71.3,36.7,63.4,45.5,100,59.5,9027,10,2011,0.2,0.09,79,58,0.010227873,0.004314913,0.100044852,-0.012811881,0.000651415,-0.017182835,0.003051932,-0.018441864,0.056675437,7,8,1,6,10,4,9,3,2
48,2011,57,57,Kyoto University,159,Japan,78.9,18.4,77.7,46.3,67.1,64.6,22809,5.6,2011,0.496839882,0.07,57,29,-0.001403742,-0.000651549,0.098797462,-0.034641935,-0.000346489,-0.000711566,0.002776429,-0.021472633,0.055690243,7,9,1,3,10,8,6,4,2
49,2011,61,61,LMU Munich,82,Germany,59.1,43.1,57.5,76.4,40.4,63,35691,15.5,2011,0.62,0.13,61,18,-0.010593709,-0.003793351,-0.03510167,-0.013942849,-0.001447553,0.031650124,0.00280317,-0.011027133,0.055238311,6,8,2,4,10,3,9,5,1
50,2011,126,124,Lancaster University,99,UK,43.5,73.8,41.9,74.9,28.8,54.4,11512,14.9,2011,0.52,0.33,124,69,0.011211003,8.03E-05,-0.06080783,0.037560247,-0.000526011,-0.018714547,0.000385923,-0.007658319,0.003639163,4,10,1,2,8,3,9,5,7
51,2011,124,124,Leiden University,62,Netherlands,47.3,40,54.9,59.3,100,54.4,21222,17.1,2011,0.59,0.1,124,40,-0.002951134,-0.000851098,0.098698359,-0.011231484,-0.002529644,-0.00734028,0.002716033,-0.000937613,0.054420225,5,10,1,3,8,4,7,9,2
52,2011,86,86,London School of Economics and Political Science,16,UK,62.4,99.5,56.2,51.6,38.4,58.3,23873.75865,18.44528302,2011,0.496839882,0.154440063,86,69,0.010484249,0.00263862,-0.034931152,0.038878009,-0.002309656,-0.001573289,0.002620054,0.001585888,0.052712743,4,6,3,2,8,10,7,9,1
53,2011,89,89,Lund University,112,Sweden,46.3,56.8,60.8,67.6,33.2,57.8,28251,11.5,2011,0.496839882,0.15,89,60,0.009885378,0.001676044,-0.064417406,0.009029517,0.001529185,-0.000957298,0.000988386,-0.021063485,0.001260736,3,6,1,4,7,10,9,2,8
54,2011,3,3,Massachusetts Institute of Technology,27,USA,97.8,82.3,91.4,99.9,87.5,95.6,11074,9,2011,0.37,0.33,3,70,0.01247827,0.00139961,0.099059057,0.038573888,-0.000171185,-0.016563639,0.003411239,-0.021474085,0.054954387,7,9,1,3,10,6,8,4,2
55,2011,35,35,McGill University,8,Canada,69,85.9,74.9,69,48.97987421,71.7,31326,13.7,2011,0.56,0.23,35,7,-0.011366828,-0.00320751,-0.000932618,0.035149741,0.001070265,0.027811976,0.004109818,-0.007567466,0.05269726,4,8,10,2,9,3,7,5,1
56,2011,93,93,McMaster University,85,Canada,44.7,52.00744025,58.7,68.5,48.97987421,57.6,23823,19.3,2011,0.53,0.15,93,7,-0.011802926,-0.001540648,0.000556432,0.005573239,0.000158218,0.000445103,0.002558572,0.000216363,0.002007406,1,6,7,3,10,8,4,9,5
57,2011,122,122,Michigan State University,142,USA,50.4,30.4,52.7,63.7,48.97987421,54.5,44750,15.7,2011,0.51,0.15,122,70,0.007185853,-0.002727621,0.002581676,-0.034568199,-0.001172085,0.028605392,0.002136353,-0.009137559,0.054153331,5,7,8,2,10,3,9,4,1
58,2011,183,183,Middle East Technical University,173,Turkey,39.5,27.2,39.5,66.4,43.9,47.7,25779,22.2,2011,0.44,0.07,183,64,0.012187736,0.004179739,-0.00105475,-0.033357163,-0.000961455,-0.00237742,0.000303906,0.028116476,0.002992216,3,5,8,1,9,7,10,2,6
59,2011,179,178,Monash University,4,Australia,39.4,87.1,38.8,60.5,40.8,48.5,50882,40.5,2011,0.56,0.36,178,1,-0.010754392,-0.004138148,-0.033210672,0.038427992,-0.000652958,0.031045005,0.001491134,0.027921221,0.005253841,5,7,2,1,10,3,9,4,6
60,2011,120,120,Nanjing University,143,China,52.2,50.2,46.2,66,43.4,54.6,29743,13.3,2011,0.46,0.1,120,9,-0.014723246,0.005273492,-0.001572164,-0.012182644,0.000559222,-0.004615877,-1.96E-05,-0.010267385,0.058729989,2,6,8,3,9,7,10,4,1
61,2011,176,174,Nanyang Technological University,34,Singapore,43.6,96.3,51.7,45,40,49,25028,16.2,2011,0.48,0.33,174,54,-0.001218271,0.003654215,-0.036791582,0.039066174,0.004620431,-0.000675968,0.000203555,-0.007207885,0.003196549,8,6,2,1,5,9,10,4,7
62,2011,181,181,National Chiao Tung University,130,Taiwan,53.2,57.9,54.4,32.9,98.7,48.3,12646,16.6,2011,0.27,0.05,181,62,0.009153788,0.00356943,0.09756516,0.006761927,-0.000205439,-0.018341818,0.002710541,-0.00022939,0.057889503,5,7,1,6,10,3,8,9,2
63,2011,163,163,National Sun Yat-Sen University,198,Taiwan,46.1,21.3,50.6,58.9,37.5,50.2,9336,19.6,2011,0.37,0.04,163,62,0.00926912,0.001856368,-0.033206702,-0.031703518,0.00183553,-0.016919746,0.003506459,-0.000657549,0.00340052,4,8,1,2,9,3,5,10,6
64,2011,115,115,National Taiwan University,185,Taiwan,50.3,29.2,59,61.6,35.7,55.2,31891,11.9,2011,0.39,0.07,115,62,0.012106943,0.005068778,-0.036801995,-0.034075748,-0.002200533,0.027401889,0.005071631,-0.022239761,0.057385593,6,8,2,3,10,4,7,5,1
65,2011,107,107,National Tsing Hua University,192,Taiwan,52.2,34.1,52.6,66.9,50.2,56.1,10221,13.5,2011,0.33,0.05,107,62,0.0120189,0.004272528,0.001916353,-0.008362162,-0.00077185,-0.019419585,0.003302986,-0.010340576,0.061314981,3,7,9,5,10,2,8,4,1
66,2011,34,34,National University of Singapore,10,Singapore,65.5,97.8,72.6,78.7,40.5,72.9,31592,15.5,2011,0.49,0.34,34,54,-0.003964438,-0.003778957,-0.034865878,0.035824767,-0.003126968,0.028643107,0.005591795,-0.009134873,0.055583824,7,8,3,2,9,4,6,5,1
67,2011,60,60,New York University,150,USA,62,31.8,50.7,82.9,48.97987421,63.9,42056,6.8,2011,0.55,0.19,60,70,0.009170654,-3.06E-05,-0.000838297,-0.032371939,0.00273024,0.025999127,0.003935778,-0.022675355,0.054043141,6,10,9,2,8,3,7,4,1
68,2011,153,152,Newcastle University,84,UK,42.7,80.5,42.8,63.6,31.1,51.2,20174,15.2,2011,0.5,0.29,152,69,0.008612195,0.001245478,-0.06152508,0.035093491,-0.001339124,-0.00832258,-0.002581621,-0.005099887,0.00268583,3,10,1,2,9,5,8,6,7
